"gamma_p","gamma_o","lambda","convergence"
0.870633490850025,6.51666789274843,0.868213966826533,0
1.10271135323939,5.82007465011278,1.14527546983254,0
1.08795008956623,6.04963166431648,1.09081052846501,0
0.856538119312768,5.19090394828612,0.821552056666743,0
1.06184851333062,6.39081157082232,1.05113714435131,0
0.987772590206708,6.7150306355871,1.00409938369601,0
1.00418965875523,5.38752337579274,1.01788965785551,0
1.01536549886208,6.6982326289822,1.05219921903332,0
1.06596565708314,6.24711327701414,1.10406109114137,0
1.01817481039858,6.12732714067122,1.05456224931436,0
0.904685782230315,6.29140973620412,0.893218373595248,0
0.759746880143586,5.5114130498453,0.765176979078044,0
1.08839087367931,5.91693195249552,1.07970741369609,0
0.988719914495599,6.92137389730586,1.10345914812133,0
1.15369689395269,7.22354491842815,1.14559487337652,0
0.895778285809021,5.97516915017806,0.892061076704521,0
0.908224876291128,6.42462859270882,0.987826696952103,0
0.84518574631311,5.04373418352407,0.841725812023318,0
0.892322400829209,7.02699239757103,0.892242306613136,0
0.85507795617395,5.03636517311326,0.859407390454712,0
0.984569136593497,6.88856337918354,0.994252559329525,0
1.00743339363425,5.52499425100161,0.987178636387883,0
0.996437484230637,6.4577889723591,1.00249109327212,0
0.941288340946941,5.7980260092321,1.01429211163725,0
1.09671538356812,6.35825191259056,1.04206332584256,0
1.05341540909444,6.84254821617465,1.12006086615483,0
1.12505204072695,6.26607500327948,1.17953526042976,0
0.891521099145744,5.45362384785234,0.866890821320478,0
1.15568361023793,5.3780107472167,1.23370090864725,0
1.01536364516895,5.3141035425645,1.04068413548875,0
1.03169414933534,5.50364644020013,1.04672167515333,0
0.979126528866041,6.14863538434503,0.999331540052948,0
1.09080605663763,8.55771869021509,1.11558109646025,0
0.959686723927539,6.96804223861977,0.997111046023852,0
0.927512152570374,5.13164450600649,0.944275693178312,0
0.791151378708032,7.04765358095091,0.832591503854809,0
1.05845262078682,5.93976241525646,1.10678017610271,0
1.0805540950832,5.85158062190804,1.0918759724016,0
1.07318242289545,6.98102529875022,1.0408418488676,0
0.876230015586636,6.43912807366855,0.902925973497478,0
1.01033869673944,6.60097445879062,1.02245716477978,0
0.98979327309462,5.77098588130578,1.01590731651698,0
1.05411784750934,5.39181083889976,1.09643100966885,0
1.13182333216934,6.90130872870246,1.07807813770452,0
1.11479066681519,6.07050283262452,1.11357214377268,0
0.971804227825477,4.65863060868316,0.993084654218336,0
0.991995229811946,5.55792619863235,1.02251560446699,0
1.04314355434718,6.11828099619106,1.00563457217323,0
0.906917069587185,5.82549288490757,0.908956521304231,0
1.02248708246594,7.53922933252872,0.981163846770598,0
0.982863548641957,5.36495376225567,1.02042826403202,0
1.0656664505837,6.12295238307125,1.07219792086213,0
1.10044423694514,5.42556002507425,1.10738176181341,0
0.99735513836828,6.78209249125816,0.984863098258912,0
1.20499737445181,6.42320180555205,1.23880615908504,0
0.992366763322686,7.68140473198415,0.963063189515752,0
0.959736640526165,6.19630315029638,0.933700210184336,0
1.12801750697605,7.03350164996008,1.21019583593135,0
0.919834953133609,5.58033052817257,0.960262576772931,0
1.16596743142141,5.61043465062879,1.20278237419832,0
1.08116642929801,5.30926406481458,1.08388802866511,0
0.893896363565139,8.12254406696735,0.879074033667798,0
1.06783125538804,5.4790368192594,1.05347780772195,0
1.03744274165311,6.18534698986927,1.11977238594355,0
1.05139546186681,6.99440681824435,1.06159814604851,0
0.8927354176918,5.92412206902059,0.849734823903226,0
1.06630361781206,7.45687093181613,1.0555623617985,0
0.973412207170025,6.28547509635979,1.00185638584074,0
0.953153875588299,6.5339930475081,0.972587248117187,0
1.1996108513638,6.36936706157007,1.16007647211268,0
0.839177842017189,5.22034481473606,0.881191794368118,0
1.06942488837773,7.02289973402362,0.990640796069267,0
1.14732921508379,6.66979749135489,1.14671390720894,0
1.06434991267469,8.50820933490932,1.09628917240974,0
1.05408153029891,5.75649897396638,0.956277980011868,0
1.03075014597461,6.13156010293958,0.997372648249347,0
0.964954022355318,7.12064557510955,0.90944680096599,0
1.00546955086009,5.25234752737705,1.01601169126563,0
1.02621806472109,5.92333200396882,0.920857757059769,0
1.0608760239142,7.48009968030181,1.10955413228125,0
1.02569354360663,6.24857772466573,1.00825414879677,0
1.20429316553805,6.08030859707317,1.18295773404901,0
0.856635762246139,6.21382223011679,0.894843367817367,0
0.960995414410557,6.37524115620395,1.00331939131231,0
0.909007229084978,5.86460677425473,0.962853140340905,0
0.975830757117438,5.98609166175802,0.97599856290808,0
1.19520445632245,5.93712783894197,1.19639365910381,0
0.920331882248259,5.1328265141869,0.931321367421943,0
0.93532592624686,5.2596342866394,0.973414651466905,0
1.09493309296697,7.06901043763718,1.11668764871919,0
0.94705011392827,6.14314098168387,0.961200734090821,0
1.01648067647965,5.7095171522854,0.979659322408504,0
1.0282501853441,5.72427838608871,1.01657211936576,0
1.01130622411053,6.13772576618478,1.03234603802906,0
1.14551125403371,8.43842692069007,1.17342322620559,0
1.09833949921077,6.89127641401715,1.1277800274931,0
0.991621607374681,7.04648507460921,0.986065083230777,0
1.01652903934284,7.36117029697627,0.970570392402025,0
0.984047144391734,9.26412922533228,1.04594444832857,0
1.32191918440641,12.1714755452658,1.40668148551729,0
