"dgp","seed","n_test","winner_raw","winner_pen","raw_EFE_full","raw_no_identity","raw_no_epistemic","raw_RI_cost","pen_EFE_full","pen_no_identity","pen_no_epistemic","pen_RI_cost","delta_raw_EFE_minus_noid","delta_pen_EFE_minus_noid"
"EFE_full",105020,440,"EFE_full","EFE_full",-257.145625090323,-293.300565219687,-263.572301170401,-304.984759446376,-266.275787180692,-299.387339946599,-269.659075897314,-311.071534173289,36.1549401293637,33.1115527659076
"EFE_full",105021,440,"EFE_full","EFE_full",-253.809610634065,-292.978038389468,-270.727953177849,-304.984759446376,-262.939772724434,-299.06481311638,-276.814727904761,-311.071534173289,39.1684277554027,36.1250403919465
"EFE_full",105022,440,"EFE_full","EFE_full",-258.133318230012,-296.477971975172,-275.961758698907,-Inf,-267.26348032038,-302.564746702084,-282.048533425819,-Inf,38.3446537451603,35.3012663817041
"EFE_full",105023,440,"EFE_full","EFE_full",-251.928811903936,-294.228114997411,-270.001091713205,-304.984759446376,-261.058973994304,-300.314889724323,-276.087866440117,-311.071534173289,42.2993030934754,39.2559157300192
"EFE_full",105024,440,"no_epistemic","no_epistemic",-263.381519808781,-295.864251557246,-262.022518776037,-304.984759446376,-272.51168189915,-301.951026284159,-268.109293502949,-311.071534173289,32.4827317484651,29.439344385009
"EFE_full",105025,440,"EFE_full",NA,-265.34554048676,-292.216687965318,-268.779211007892,-304.984759446376,-274.475702577129,-298.30346269223,-274.865985734804,-311.071534173289,26.8711474785575,23.8277601151013
"EFE_full",105026,440,"EFE_full","EFE_full",-247.237757764347,-288.226303646291,-279.840936095992,-304.984759446376,-256.367919854716,-294.313078373203,-285.927710822904,-311.071534173289,40.9885458819436,37.9451585184875
"EFE_full",105027,440,"EFE_full","EFE_full",-246.655798447935,-290.710653619432,-269.94812513611,-304.984759446376,-255.785960538303,-296.797428346344,-276.034899863023,-311.071534173289,44.0548551714967,41.0114678080405
"EFE_full",105028,440,"EFE_full","EFE_full",-255.078605196489,-294.517585221986,-278.034556237434,-304.984759446376,-264.208767286858,-300.604359948898,-284.121330964347,-311.071534173289,39.4389800254966,36.3955926620405
"EFE_full",105029,440,"EFE_full","EFE_full",-247.898155649691,-299.580997423538,-268.997166420721,-304.984759446376,-257.02831774006,-305.66777215045,-275.083941147634,-311.071534173289,51.6828417738468,48.6394544103906
"EFE_full",105030,440,"EFE_full","EFE_full",-253.928452458062,-288.722213868872,-270.184433490091,-304.984759446376,-263.05861454843,-294.808988595784,-276.271208217003,-311.071534173289,34.7937614108099,31.7503740473538
"EFE_full",105031,440,"EFE_full","EFE_full",-248.314045144286,-291.441627327447,-265.059029443781,-304.984759446376,-257.444207234654,-297.528402054359,-271.145804170693,-311.071534173289,43.1275821831607,40.0841948197045
"EFE_full",105032,440,"EFE_full","EFE_full",-250.954191465095,-309.325212420358,-270.126045664005,-304.984759446376,-260.084353555463,-315.41198714727,-276.212820390917,-311.071534173289,58.3710209552627,55.3276335918065
"EFE_full",105033,440,"EFE_full","EFE_full",-248.509799665291,-295.865663257056,-270.023945400784,-304.984759446376,-257.639961755659,-301.952437983968,-276.110720127696,-311.071534173289,47.3558635917649,44.3124762283088
"EFE_full",105034,440,"no_epistemic","no_epistemic",-270.601850847894,-298.649902374163,-258.195656233914,-304.984759446376,-279.732012938263,-304.736677101075,-264.282430960826,-311.071534173289,28.0480515262685,25.0046641628124
"EFE_full",105035,440,"EFE_full","EFE_full",-245.979973631266,-292.584897376375,-265.131457447364,-304.984759446376,-255.110135721634,-298.671672103288,-271.218232174276,-311.071534173289,46.6049237451096,43.5615363816535
"EFE_full",105036,440,"EFE_full","EFE_full",-235.015406224195,-293.109026301922,-261.368834315765,-304.984759446376,-244.145568314564,-299.195801028835,-267.455609042677,-311.071534173289,58.0936200777269,55.0502327142708
"EFE_full",105037,440,"EFE_full","EFE_full",-258.832824728641,-306.366798217349,-265.506540801557,-304.984759446376,-267.962986819009,-312.453572944261,-271.593315528469,-311.071534173289,47.533973488708,44.4905861252519
"EFE_full",105038,440,"EFE_full","EFE_full",-253.492865782873,-294.793682652913,-264.933617392117,-304.984759446376,-262.623027873242,-300.880457379825,-271.020392119029,-311.071534173289,41.3008168700396,38.2574295065834
"EFE_full",105039,440,"EFE_full","EFE_full",-248.487122346719,-297.849994403605,-267.104220247083,-304.984759446376,-257.617284437087,-303.936769130517,-273.190994973995,-311.071534173289,49.3628720568859,46.3194846934298
"EFE_full",105040,440,"EFE_full","EFE_full",-255.308375100833,-295.935562322396,-268.738833491374,-304.984759446376,-264.438537191202,-302.022337049309,-274.825608218287,-311.071534173289,40.6271872215628,37.5837998581067
"EFE_full",105041,440,"no_epistemic","no_epistemic",-295.718576010759,-290.899350527987,-270.509470689744,-304.984759446376,-304.848738101128,-296.986125254899,-276.596245416656,-311.071534173289,-4.81922548277271,-7.86261284622884
"EFE_full",105042,440,"EFE_full","EFE_full",-244.499449196317,-290.870097956541,-275.899879555407,-304.984759446376,-253.629611286685,-296.956872683454,-281.98665428232,-311.071534173289,46.3706487602248,43.3272613967687
"EFE_full",105043,440,"EFE_full","EFE_full",-247.19950777948,-296.531880723697,-272.084313307427,-304.984759446376,-256.329669869848,-302.61865545061,-278.171088034339,-311.071534173289,49.3323729442174,46.2889855807612
"EFE_full",105044,440,"EFE_full","EFE_full",-248.508422547032,-295.368685838502,-270.33714930103,-304.984759446376,-257.6385846374,-301.455460565414,-276.423924027943,-311.071534173289,46.8602632914695,43.8168759280134
"EFE_full",105045,440,"EFE_full","EFE_full",-252.761381230629,-296.237043551772,-266.014445721097,-304.984759446376,-261.891543320997,-302.323818278684,-272.10122044801,-311.071534173289,43.4756623211431,40.4322749576869
"EFE_full",105046,440,"no_epistemic","no_epistemic",-276.396491199184,-291.188029139105,-262.01350039194,-304.984759446376,-285.526653289552,-297.274803866018,-268.100275118852,-311.071534173289,14.7915379399219,11.7481505764657
"EFE_full",105047,440,"EFE_full","EFE_full",-242.543206162808,-293.549086274299,-272.016108804534,-304.984759446376,-251.673368253176,-299.635861001211,-278.102883531446,-311.071534173289,51.0058801114915,47.9624927480354
"EFE_full",105048,440,"EFE_full","EFE_full",-256.894763673945,-297.255793191363,-270.426270546698,-304.984759446376,-266.024925764313,-303.342567918275,-276.51304527361,-311.071534173289,40.3610295174183,37.3176421539621
"EFE_full",105049,440,"EFE_full","EFE_full",-245.893893785356,-288.787015736213,-267.887353376966,-304.984759446376,-255.024055875724,-294.873790463125,-273.974128103879,-311.071534173289,42.8931219508572,39.8497345874011
"EFE_full",105050,440,"EFE_full","EFE_full",-252.728582537126,-296.563617199717,-267.607945684575,-304.984759446376,-261.858744627495,-302.65039192663,-273.694720411487,-311.071534173289,43.8350346625912,40.791647299135
"EFE_full",105051,440,"EFE_full","EFE_full",-246.473090244341,-293.777183527578,-272.922912527301,-304.984759446376,-255.603252334709,-299.863958254491,-279.009687254213,-311.071534173289,47.3040932832374,44.2607059197812
"EFE_full",105052,440,"EFE_full","EFE_full",-250.158678490501,-293.859546685769,-266.031479269985,-304.984759446376,-259.288840580869,-299.946321412682,-272.118253996898,-311.071534173289,43.7008681952685,40.6574808318123
"EFE_full",105053,440,"EFE_full","EFE_full",-244.301620830377,-295.236420326841,-263.316673698987,-304.984759446376,-253.431782920745,-301.323195053753,-269.403448425899,-311.071534173289,50.934799496464,47.8914121330079
"EFE_full",105054,440,"EFE_full","EFE_full",-249.57502866844,-294.205203988945,-267.896418465086,-304.984759446376,-258.705190758808,-300.291978715858,-273.983193191999,-311.071534173289,44.6301753205058,41.5867879570496
"EFE_full",105055,440,"EFE_full","EFE_full",-254.622071288224,-293.060317979526,-284.205173119316,-Inf,-263.752233378593,-299.147092706438,-290.291947846229,-Inf,38.4382466913012,35.394859327845
"EFE_full",105056,440,"EFE_full","EFE_full",-244.306333331537,-297.485026210084,-269.469684916377,-304.984759446376,-253.436495421905,-303.571800936996,-275.55645964329,-311.071534173289,53.178692878547,50.1353055150909
"EFE_full",105057,440,"EFE_full","EFE_full",-245.506102333097,-296.181465712148,-260.693626626565,-304.984759446376,-254.636264423465,-302.268240439061,-266.780401353478,-311.071534173289,50.6753633790515,47.6319760155954
"EFE_full",105058,440,"EFE_full","EFE_full",-241.285980674312,-294.574133592384,-268.104209225671,-304.984759446376,-250.416142764681,-300.660908319296,-274.190983952583,-311.071534173289,53.2881529180717,50.2447655546155
"EFE_full",105059,440,"EFE_full","EFE_full",-252.740188407829,-298.895153561865,-264.720501886422,-304.984759446376,-261.870350498197,-304.981928288778,-270.807276613335,-311.071534173289,46.1549651540364,43.1115777905803
"EFE_full",105060,440,"EFE_full","EFE_full",-250.608035734938,-292.249981500213,-269.919656411474,-304.984759446376,-259.738197825306,-298.336756227126,-276.006431138386,-311.071534173289,41.6419457652752,38.5985584018191
"EFE_full",105061,440,"EFE_full","EFE_full",-249.37054892701,-296.98718112535,-265.972480945682,-304.984759446376,-258.500711017379,-303.073955852262,-272.059255672594,-311.071534173289,47.6166321983391,44.5732448348829
"EFE_full",105062,440,"EFE_full","EFE_full",-252.670574582658,-293.573173028492,-272.19390654538,-304.984759446376,-261.800736673026,-299.659947755404,-278.280681272293,-311.071534173289,40.902598445834,37.8592110823779
"EFE_full",105063,440,"EFE_full","EFE_full",-253.751743536818,-297.309739136395,-263.80722740734,-304.984759446376,-262.881905627186,-303.396513863308,-269.894002134252,-311.071534173289,43.5579955995777,40.5146082361215
"EFE_full",105064,440,"no_epistemic","no_epistemic",-286.535784925641,-463.946702623157,-265.038310187571,-304.984759446376,-295.66594701601,-470.03347735007,-271.125084914484,-311.071534173289,177.410917697516,174.36753033406
"EFE_full",105065,440,"EFE_full","EFE_full",-247.025749131649,-296.735338551578,-268.582677521287,-304.984759446376,-256.155911222018,-302.82211327849,-274.669452248199,-311.071534173289,49.7095894199287,46.6662020564726
"EFE_full",105066,440,"EFE_full","EFE_full",-253.624262806184,-293.129675240446,-270.101731787984,-304.984759446376,-262.754424896552,-299.216449967358,-276.188506514897,-311.071534173289,39.5054124342618,36.4620250708057
"EFE_full",105067,440,"EFE_full","EFE_full",-260.923032660369,-294.399714362421,-279.259052178019,-304.984759446376,-270.053194750738,-300.486489089334,-285.345826904931,-311.071534173289,33.4766817020522,30.4332943385961
"EFE_full",105068,440,"EFE_full","EFE_full",-245.253162976242,-291.366552521963,-269.89129866955,-304.984759446376,-254.383325066611,-297.453327248875,-275.978073396462,-311.071534173289,46.1133895457205,43.0700021822643
"EFE_full",105069,440,"EFE_full","EFE_full",-249.177977640567,-296.436036739857,-269.142195937908,-304.984759446376,-258.308139730936,-302.52281146677,-275.22897066482,-311.071534173289,47.25805909929,44.2146717358339
"EFE_full",105070,440,"EFE_full","EFE_full",-260.929604135903,-306.513124788405,-274.751255639841,-304.984759446376,-270.059766226271,-312.599899515317,-280.838030366753,-311.071534173289,45.5835206525022,42.5401332890461
"EFE_full",105071,440,"EFE_full","EFE_full",-249.382925663635,-299.524917627744,-270.235798255131,-304.984759446376,-258.513087754003,-305.611692354656,-276.322572982043,-311.071534173289,50.1419919641093,47.0986046006532
"EFE_full",105072,440,"EFE_full","EFE_full",-243.221644319671,-292.810472347397,-262.968596383928,-304.984759446376,-252.35180641004,-298.897247074309,-269.05537111084,-311.071534173289,49.5888280277258,46.5454406642696
"EFE_full",105073,440,"EFE_full","EFE_full",-249.511088642197,-288.23954295265,-277.439926650235,-304.984759446376,-258.641250732566,-294.326317679562,-283.526701377147,-311.071534173289,38.7284543104528,35.6850669469966
"EFE_full",105074,440,"EFE_full","EFE_full",-248.496261713938,-294.776110773556,-268.464056941878,-304.984759446376,-257.626423804307,-300.862885500468,-274.55083166879,-311.071534173289,46.2798490596175,43.2364616961614
"EFE_full",105075,440,"EFE_full","EFE_full",-248.081367956022,-294.234440823448,-268.157165482306,-304.984759446376,-257.211530046391,-300.32121555036,-274.243940209218,-311.071534173289,46.1530728674258,43.1096855039697
"EFE_full",105076,440,"EFE_full","EFE_full",-246.483825204591,-307.977813851571,-256.836120954815,-304.984759446376,-255.61398729496,-314.064588578484,-262.922895681727,-311.071534173289,61.4939886469798,58.4506012835237
"EFE_full",105077,440,"EFE_full","EFE_full",-247.837876564844,-294.471611661987,-272.838864422698,-304.984759446376,-256.968038655212,-300.5583863889,-278.92563914961,-311.071534173289,46.6337350971439,43.5903477336877
"EFE_full",105078,440,"EFE_full","EFE_full",-254.93911812761,-300.732369496522,-269.271683806337,-304.984759446376,-264.069280217979,-306.819144223434,-275.35845853325,-311.071534173289,45.7932513689118,42.7498640054556
"EFE_full",105079,440,"EFE_full","EFE_full",-255.483136957176,-301.111595787457,-268.748242417684,-304.984759446376,-264.613299047545,-307.198370514369,-274.835017144596,-311.071534173289,45.6284588302803,42.5850714668242
"EFE_full",105080,440,"EFE_full","EFE_full",-252.468325207336,-294.696405666235,-274.506989970228,-304.984759446376,-261.598487297705,-300.783180393147,-280.59376469714,-311.071534173289,42.2280804588986,39.1846930954424
"EFE_full",105081,440,"no_epistemic","no_epistemic",-275.844959529008,-297.54202706826,-261.897402769234,-304.984759446376,-284.975121619376,-303.628801795173,-267.984177496146,-311.071534173289,21.6970675392528,18.6536801757966
"EFE_full",105082,440,"EFE_full","EFE_full",-247.838564960475,-296.545647273239,-272.238684274113,-304.984759446376,-256.968727050844,-302.632422000152,-278.325459001026,-311.071534173289,48.707082312764,45.6636949493079
"EFE_full",105083,440,"EFE_full","EFE_full",-245.471595091241,-293.873227211283,-265.405714135445,-304.984759446376,-254.60175718161,-299.960001938195,-271.492488862357,-311.071534173289,48.4016321200419,45.3582447565857
"EFE_full",105084,440,"EFE_full","EFE_full",-238.909755225754,-285.448823850578,-267.788921105639,-304.984759446376,-248.039917316123,-291.53559857749,-273.875695832552,-311.071534173289,46.5390686248235,43.4956812613673
"EFE_full",105085,440,"EFE_full",NA,-261.703460352404,-295.809174850413,-265.134100057835,-304.984759446376,-270.833622442773,-301.895949577325,-271.220874784747,-311.071534173289,34.1057144980084,31.0623271345522
"EFE_full",105086,440,"EFE_full",NA,-260.420963588447,-292.91358728318,-262.348333595461,-304.984759446376,-269.551125678816,-299.000362010093,-268.435108322373,-311.071534173289,32.4926236947331,29.449236331277
"EFE_full",105087,440,"EFE_full","EFE_full",-259.480684307962,-296.924747687617,-271.286442847513,-304.984759446376,-268.610846398331,-303.011522414529,-277.373217574426,-311.071534173289,37.444063379655,34.4006760161988
"EFE_full",105088,440,"EFE_full","EFE_full",-248.492780714036,-292.356167982999,-270.208245404109,-304.984759446376,-257.622942804404,-298.442942709911,-276.295020131022,-311.071534173289,43.8633872689632,40.819999905507
"EFE_full",105089,440,"EFE_full","EFE_full",-242.480764613355,-294.183622082002,-260.608514233852,-304.984759446376,-251.610926703723,-300.270396808914,-266.695288960765,-311.071534173289,51.7028574686469,48.6594701051907
"EFE_full",105090,440,"EFE_full","EFE_full",-261.29834795836,-297.864293600475,-271.213094748947,-304.984759446376,-270.428510048728,-303.951068327388,-277.29986947586,-311.071534173289,36.5659456421154,33.5225582786592
"EFE_full",105091,440,"EFE_full","EFE_full",-249.985111879249,-290.365631111432,-266.610211906389,-304.984759446376,-259.115273969617,-296.452405838344,-272.696986633301,-311.071534173289,40.380519232183,37.3371318687269
"EFE_full",105092,440,"EFE_full","EFE_full",-244.457805227199,-303.020718728499,-264.726155900942,-304.984759446376,-253.587967317567,-309.107493455411,-270.812930627855,-311.071534173289,58.5629135012999,55.5195261378438
"EFE_full",105093,440,"EFE_full","EFE_full",-253.540221683876,-294.971009405792,-268.194482228456,-304.984759446376,-262.670383774244,-301.057784132705,-274.281256955369,-311.071534173289,41.4307877219165,38.3874003584604
"EFE_full",105094,440,"no_epistemic","no_epistemic",-287.017803975848,-443.980164078204,-257.682554131434,-304.984759446376,-296.147966066217,-450.066938805116,-263.769328858346,-311.071534173289,156.962360102355,153.918972738899
"EFE_full",105095,440,"EFE_full","EFE_full",-253.472941771405,-296.973975504747,-274.551082333919,-304.984759446376,-262.603103861773,-303.060750231659,-280.637857060831,-311.071534173289,43.5010337333422,40.4576463698861
"EFE_full",105096,440,"EFE_full","EFE_full",-255.62742899877,-294.402573422318,-263.719468054107,-304.984759446376,-264.757591089138,-300.48934814923,-269.80624278102,-311.071534173289,38.775144423548,35.7317570600919
"EFE_full",105097,440,"EFE_full","EFE_full",-246.962975523041,-295.23633448423,-268.355016165523,-304.984759446376,-256.093137613409,-301.323109211142,-274.441790892436,-311.071534173289,48.2733589611892,45.2299715977331
"EFE_full",105098,440,"EFE_full","EFE_full",-244.37645547369,-293.512957631949,-268.624427780401,-Inf,-253.506617564058,-299.599732358862,-274.711202507313,-Inf,49.1365021582596,46.0931147948035
"EFE_full",105099,440,"EFE_full","EFE_full",-260.199377805945,-296.594723473319,-282.658392455517,-304.984759446376,-269.329539896313,-302.681498200231,-288.74516718243,-311.071534173289,36.395345667374,33.3519583039179
"EFE_full",105100,440,"EFE_full","EFE_full",-249.427242739614,-326.683876855462,-266.158545990381,-304.984759446376,-258.557404829982,-332.770651582374,-272.245320717293,-311.071534173289,77.2566341158482,74.213246752392
"EFE_full",105101,440,"EFE_full","EFE_full",-256.611740068803,-396.839909219049,-267.697574973977,-304.984759446376,-265.741902159171,-402.926683945961,-273.784349700889,-311.071534173289,140.228169150246,137.18478178679
"EFE_full",105102,440,"EFE_full","EFE_full",-252.126076416722,-297.550451276226,-268.252151647004,-304.984759446376,-261.25623850709,-303.637226003138,-274.338926373917,-311.071534173289,45.4243748595041,42.380987496048
"EFE_full",105103,440,"EFE_full","EFE_full",-254.825145559678,-289.555305629543,-274.990640099924,-304.984759446376,-263.955307650046,-295.642080356456,-281.077414826836,-311.071534173289,34.7301600698657,31.6867727064096
