"N","param","mean","bias","rmse","conv_fail_rate"
30,"gamma_p",1.03346385125501,0.0334638512550132,0.103473428791897,0
30,"gamma_o",6.48007234817981,0.480072348179807,0.970738403078215,0
30,"lambda",1.03715385385116,0.03715385385116,0.113016514997446,0
100,"gamma_p",1.01372201680089,0.0137220168008945,0.0986372277644181,0
100,"gamma_o",6.3482261609533,0.348226160953303,1.08155467516739,0
100,"lambda",1.02369160366648,0.0236916036664838,0.108054188043353,0
300,"gamma_p",1.01688581744078,0.0168858174407804,0.107425109704056,0
300,"gamma_o",6.22699108880622,0.226991088806216,1.03817643198448,0
300,"lambda",1.02079308637941,0.0207930863794061,0.109757548634888,0
