"gamma_p","gamma_o","lambda","convergence"
1.1201820834618,6.14050774570144,1.08011063412169,0
1.00434848982443,7.10110308264008,1.01123752400519,0
1.00955703188918,6.11221027240842,1.01969852620234,0
0.971517028633565,6.49964748458617,0.985362416801575,0
0.958976858696234,5.85729665404448,0.889905647847004,0
1.12546030640119,7.38986560651017,1.14530126652975,0
0.867684376429551,6.10661283967465,0.893886688932676,0
1.07650623690377,5.79587723383118,1.13440101080887,0
1.06614476219411,6.18984038531503,1.04938761583928,0
0.977490211283552,5.85593773380253,0.992052510002384,0
1.09259006953461,6.5919447459686,1.11268009437197,0
1.02886307746077,5.92620449481805,0.972090189105618,0
1.04576378115647,5.82077623885478,0.975727155045253,0
1.02959034796301,6.09890857561148,1.02626408007615,0
0.960876066729323,6.54054929717895,0.944615039847564,0
1.21565962914551,7.89915392464209,1.22361813158785,0
0.963154448487889,7.39576309294423,0.974579639725875,0
1.03953068721385,8.25597085033166,1.05601274001053,0
0.989596427552221,5.1388840839928,0.984283408894079,0
0.974709759421852,6.63035893379864,1.043874596432,0
0.907907138251122,4.96435110460756,0.902279306455341,0
1.19674686230732,6.65689650069759,1.19809340580399,0
0.848564643131306,5.28646762000583,0.881062829352561,0
1.14545635182541,7.05419391597909,1.24454696976217,0
0.959438801404882,6.94945458566799,0.938824613368282,0
1.15144923752741,7.00865031384623,1.15357337732271,0
1.22118816038058,8.57302953573167,1.27635261580921,0
1.01002286343018,5.87424524560723,0.990805604005726,0
0.899606815280728,6.74655559299421,0.934283453141655,0
1.14533298372857,5.94091275360145,1.0797045243255,0
