"","EFE_full","no_identity","no_epistemic","RI_cost"
"EFE_full",-255.06324626478,-301.507966753078,-268.616355811662,-304.984759446376
"no_identity",-345.44811301612,-297.915511234614,-305.031228444778,-304.984759446376
"no_epistemic",-968.636512611329,-304.98483747912,-296.807404257165,-338.945219538527
"RI_cost",-2223.30790461355,-305.153802105195,-980.069601721284,-152.892501291285
