"gamma_p","gamma_o","lambda","convergence"
0.860783691864246,4.53032770773146,0.81429892228865,0
1.11898178907693,5.99242690371543,1.0307692164413,0
0.94357413049863,5.53903594841011,0.979285204484658,0
1.01785425911081,5.81816479004705,0.990581338950616,0
1.04323151670501,7.41560274973199,1.03878990023093,0
0.941580464159112,6.44451593138521,0.945869600128325,0
1.02429405754871,7.87448818448916,1.07488874173192,0
1.05510671225411,6.6073983801587,0.989089640507084,0
0.976881972414898,5.81432128079265,1.00244549199898,0
1.05033683447719,7.09844507919299,1.0843407746584,0
0.922039395600485,5.54077585601635,0.953317301187409,0
0.939097857033133,5.23481011857887,0.925758598633274,0
1.14845632819686,6.77425703229136,1.09514000012562,0
0.958597658500446,5.67883127749853,1.00201071681745,0
0.994880033549695,5.85044587496877,0.957523960994493,0
0.978982635054431,5.56836041856813,1.04601036636593,0
0.961089855956496,5.24612267841219,0.980060304172982,0
0.940900044575052,6.65895953654827,1.03609635299303,0
1.058031502177,7.09757287847987,1.13661961203671,0
1.05416963988449,6.65366776918723,1.08324493753786,0
0.916978496065753,4.48389237593155,0.958017476452848,0
1.04678999981931,4.84375574662538,1.01920939480882,0
1.24967444998521,6.30156331916427,1.22979484776948,0
0.867438084345117,5.68686571063428,0.870391255483466,0
1.10061235356939,6.03333247996334,1.06919854945034,0
1.01127324828623,5.84541801386176,1.03034782452651,0
0.987498127244268,6.05713988892598,0.935881473734104,0
1.17721524918237,5.33479315613982,1.09876366496913,0
1.16831815090837,5.91535145665381,1.1397404434039,0
1.02931201009427,5.73619706916756,0.995791563331449,0
1.15536899691191,6.2143306258501,1.2037312393399,0
1.11471237418343,6.29045303693583,1.11295898620902,0
0.881487092736363,4.96751477097515,0.867196841393746,0
1.03035662524998,5.81529024299407,1.05637471516813,0
1.08137873610474,6.33262160218415,1.10519568148745,0
0.929215158188931,4.88531013934374,0.934615317850877,0
1.3201284797661,7.3207649381088,1.2637792474189,0
1.1372610743672,6.38095237910254,1.1319958063236,0
0.895396661461011,6.17622344724731,0.927883546906051,0
0.962448313433133,5.5839979868222,0.961516217142958,0
0.952478547166775,6.45665207476515,0.937220467754049,0
1.01505005519833,4.73568972241512,1.03834768366376,0
1.02805872885709,6.65373620374266,1.00374554522691,0
1.26864722515951,6.29638026024652,1.16359511787817,0
1.04464612697419,5.66094529165581,1.00662179119049,0
0.944775225531875,5.7265171714921,0.984030540252534,0
0.93132220660486,6.23608605628899,0.936325121474676,0
0.915936568240742,5.31325879789188,0.893605063516085,0
