"gamma_p","gamma_o","lambda","convergence"
1.12018208346029,6.14050774568763,1.08011063412015,0
1.0043484898244,7.10110308260084,1.01123752400495,0
1.00955703188918,6.11221027240842,1.01969852620234,0
0.97151702863317,6.49964748458604,0.985362416801222,0
0.958976858696375,5.85729665402922,0.889905647847099,0
1.12546030639978,7.38986560649006,1.14530126652794,0
0.867684376431734,6.10661283972406,0.893886688935101,0
1.07650623690433,5.79587723383268,1.13440101080953,0
1.06614476219494,6.18984038533388,1.04938761584018,0
0.977490211283977,5.85593773383569,0.992052510003093,0
1.09259006953532,6.59194474598739,1.11268009437272,0
1.02886307745917,5.92620449480111,0.972090189104053,0
1.04576378115849,5.82077623886682,0.975727155048623,0
1.02959034796516,6.09890857559145,1.02626408007783,0
0.960876066727431,6.54054929712128,0.944615039845313,0
1.21565962914523,7.89915392463545,1.22361813158755,0
0.963154448487625,7.39576309290208,0.974579639726004,0
1.03953068721463,8.25597085048605,1.05601274001284,0
0.989596427493202,5.13888408388302,0.98428340884855,0
0.974709759427592,6.63035893381472,1.04387459643753,0
0.907907138251836,4.96435110463449,0.90227930645828,0
1.1967468623085,6.65689650071418,1.19809340580519,0
0.848564643131552,5.28646762001247,0.881062829353095,0
1.14545635181883,7.05419391603634,1.24454696975331,0
0.959438801404285,6.94945458566275,0.938824613368051,0
1.15144923752665,7.00865031383572,1.15357337732177,0
1.22118816037755,8.57302953567109,1.27635261580535,0
1.01002286343269,5.87424524565101,0.990805604008321,0
0.89960681528026,6.74655559295136,0.934283453141107,0
1.14533298373067,5.94091275361377,1.07970452432748,0
