"","EFE_full","no_identity","no_epistemic","RI_cost"
"EFE_full",-251.393867642895,-365.307378329578,-260.739824387702,-304.984759446376
"no_identity",-384.427545784125,-291.072665495854,-305.265065361943,-304.984759446376
"no_epistemic",-968.556865698929,-304.990795272197,-296.755505953261,-345.210614284044
"RI_cost",-163.238670836783,-305.322917679875,-218.842201756871,-0.746613293644851
