"gamma_p","gamma_o","lambda","convergence"
0.870633490850027,6.51666789277778,0.868213966826373,0
1.10271135324301,5.82007465015669,1.14527546983694,0
1.08795008956679,6.04963166432203,1.09081052846556,0
0.85653811931291,5.1909039483208,0.821552056670421,0
1.06184851332721,6.39081157073931,1.05113714434741,0
0.987772590206294,6.71503063555746,1.00409938369537,0
1.00418965875847,5.38752337582703,1.01788965785902,0
1.01536549879171,6.69823262894944,1.0521992189727,0
1.06596565708673,6.24711327708579,1.10406109114533,0
1.01817481040019,6.12732714069247,1.05456224931586,0
0.904685782229158,6.2914097361113,0.893218373593244,0
0.759746880144051,5.51141304988218,0.765176979079277,0
1.08839087368181,5.91693195254784,1.07970741369895,0
0.988719914496919,6.92137389733622,1.1034591481229,0
1.15369689395061,7.22354491839628,1.14559487337434,0
0.895778285810075,5.97516915021236,0.892061076705937,0
0.908224876289871,6.42462859260072,0.987826696949444,0
0.845185746314429,5.04373418356404,0.841725812024766,0
0.892322400829525,7.02699239765568,0.89224230661421,0
0.855077956174366,5.03636517312237,0.8594073904552,0
0.984569136596333,6.8885633792611,0.994252559332735,0
1.00743339353195,5.52499424995405,0.987178636259378,0
0.996437484229748,6.45778897232288,1.00249109326997,0
0.941288340947734,5.79802600925008,1.01429211163816,0
1.09671538356827,6.35825191260025,1.04206332584258,0
1.0534154090963,6.84254821624375,1.12006086615784,0
1.12505204062117,6.26607500289513,1.17953526025671,0
0.89152109914322,5.45362384779223,0.866890821317779,0
1.15568361024295,5.37801074726513,1.23370090865324,0
1.01536364517218,5.31410354239014,1.04068413551824,0
1.03169414933397,5.50364644019164,1.04672167515024,0
0.979126528867432,6.14863538439282,0.999331540057897,0
1.09080605663811,8.55771869023861,1.11558109646011,0
0.95968672392813,6.9680422386353,0.997111046024545,0
0.927512152568253,5.1316445059338,0.944275693163303,0
0.791151378707814,7.04765358089388,0.832591503853917,0
1.05845262078584,5.939762415247,1.10678017610165,0
1.08055409508392,5.85158062193812,1.09187597240251,0
1.07318242289541,6.98102529874988,1.04084184886754,0
0.876230015587209,6.43912807368206,0.902925973498145,0
1.01033869673912,6.60097445878882,1.02245716477951,0
0.989793273095167,5.77098588130077,1.01590731651766,0
1.05411784750811,5.3918108388905,1.09643100966748,0
1.13182333216593,6.90130872866298,1.07807813770082,0
1.114790666678,6.07050283173442,1.1135721435845,0
0.971804227825922,4.65863060864184,0.993084654219438,0
0.991995229812011,5.55792619863686,1.02251560446672,0
1.04314355434881,6.11828099621942,1.00563457217502,0
0.906917069588072,5.82549288495928,0.908956521305216,0
1.0224870824652,7.53922933248766,0.98116384676969,0
0.982863548639984,5.36495376223607,1.02042826402966,0
1.06566645058666,6.12295238311461,1.07219792086565,0
1.1004442369466,5.42556002508523,1.10738176181477,0
0.997355138368398,6.78209249130677,0.984863098260512,0
1.20499737445451,6.42320180557571,1.23880615908797,0
0.99236676332212,7.68140473215837,0.963063189525952,0
0.959736640524373,6.19630315029962,0.933700210182412,0
1.12801750684957,7.03350164995809,1.21019583582223,0
0.91983495313522,5.58033052817788,0.960262576773284,0
1.16596743141903,5.61043465059598,1.20278237419616,0
1.0811664292954,5.30926406480686,1.08388802866227,0
0.893896363565446,8.12254406682261,0.87907403366713,0
1.0678312553883,5.47903681925518,1.05347780772218,0
1.03744274165504,6.18534698991243,1.11977238594621,0
1.051395461859,6.99440681811038,1.06159814604388,0
0.892735417691787,5.92412206900913,0.849734823903132,0
1.06630361781181,7.456870931799,1.05556236179804,0
0.973412207170025,6.28547509635979,1.00185638584074,0
0.953153875588703,6.53399304751722,0.972587248117809,0
1.19961085142083,6.36936706199056,1.16007647218842,0
0.839177842017077,5.22034481474331,0.881191794372419,0
1.06942488837841,7.02289973401136,0.990640796069682,0
1.14732921508274,6.66979749134725,1.14671390720782,0
1.06434991267441,8.50820933490625,1.09628917240945,0
1.05408153029644,5.75649897393296,0.956277980009628,0
1.03075014597349,6.13156010291722,0.997372648248211,0
0.964954022356241,7.12064557515873,0.909446800967099,0
1.00546955087063,5.25234752738474,1.01601169127736,0
1.02621806471389,5.92333200401202,0.92085775705647,0
1.06087602391457,7.4800996802913,1.10955413228157,0
1.02569354360567,6.24857772463688,1.00825414879562,0
1.20429316553189,6.08030859700846,1.18295773404282,0
0.856635762245349,6.21382223009124,0.894843367815983,0
0.960995414413969,6.3752411562639,1.00331939131639,0
0.909007229083686,5.86460677424551,0.962853140340286,0
0.975830757118652,5.98609166177515,0.975998562909211,0
1.19520445631721,5.93712783889781,1.19639365910068,0
0.920331882247169,5.1328265141762,0.931321367421075,0
0.935325926246265,5.25963428663206,0.973414651467681,0
1.09493309296627,7.06901043758379,1.11668764871737,0
0.947050113930141,6.14314098172933,0.961200734093133,0
1.01648067648095,5.70951715229138,0.979659322409804,0
1.02825018534551,5.72427838612114,1.0165721193674,0
1.01130622411026,6.1377257662084,1.03234603802889,0
1.14551125403251,8.43842692065801,1.17342322620417,0
1.09833949921199,6.89127641403622,1.12778002749411,0
0.991621607371878,7.04648507452441,0.986065083228134,0
1.0165290393472,7.36117029707409,0.970570392405756,0
0.98404714439225,9.26412922529566,1.04594444832869,0
1.32191918440414,12.1714755447457,1.40668148551243,0
