"dgp","seed","n_test","winner_raw","winner_pen","raw_EFE_full","raw_no_identity","raw_no_epistemic","raw_RI_cost","pen_EFE_full","pen_no_identity","pen_no_epistemic","pen_RI_cost","delta_raw_EFE_minus_noid","delta_pen_EFE_minus_noid"
"EFE_full",105028,440,"EFE_full","EFE_full",-241.710240531478,-317.642313056466,-265.557890404885,-304.984759446376,-250.840402621846,-323.729087783379,-271.644665131797,-311.071534173289,75.9320725249885,72.8886851615324
"EFE_full",105029,440,"EFE_full","EFE_full",-241.352620618451,-324.381613768072,-262.680069987566,-304.984759446376,-250.48278270882,-330.468388494984,-268.766844714478,-311.071534173289,83.028993149621,79.9856057861649
"EFE_full",105030,440,"EFE_full","EFE_full",-238.267348668861,-332.484269044891,-255.959082127551,-304.984759446376,-247.39751075923,-338.571043771804,-262.045856854463,-311.071534173289,94.2169203760303,91.1735330125741
"EFE_full",105031,440,"EFE_full","EFE_full",-243.389605614134,-316.578861510309,-261.41241682829,-304.984759446376,-252.519767704502,-322.665636237221,-267.499191555202,-311.071534173289,73.1892558961748,70.1458685327187
"EFE_full",105032,440,"EFE_full","EFE_full",-246.588283566773,-431.920842634505,-261.770828850815,-304.984759446376,-255.718445657142,-438.007617361417,-267.857603577728,-311.071534173289,185.332559067731,182.289171704275
"EFE_full",105033,440,"EFE_full","EFE_full",-238.578691903563,-333.256526143423,-260.827069960537,-304.984759446376,-247.708853993931,-339.343300870335,-266.913844687449,-311.071534173289,94.6778342398604,91.6344468764042
"EFE_full",105034,440,"no_epistemic","no_epistemic",-268.577521263899,-311.213197551974,-251.474241204438,-Inf,-277.707683354267,-317.299972278886,-257.561015931351,-Inf,42.635676288075,39.5922889246189
"EFE_full",105035,440,"EFE_full","EFE_full",-237.06816395557,-311.236887070003,-257.73218061571,-304.984759446376,-246.198326045938,-317.323661796915,-263.818955342623,-311.071534173289,74.1687231144328,71.1253357509766
"EFE_full",105036,440,"EFE_full","EFE_full",-228.266807589388,-308.983547619432,-254.530011861486,-304.984759446376,-237.396969679757,-315.070322346344,-260.616786588398,-311.071534173289,80.7167400300436,77.6733526665875
"EFE_full",105037,440,"EFE_full",NA,-252.24865610922,-365.792720818809,-256.779529711677,-304.984759446376,-261.378818199588,-371.879495545722,-262.86630443859,-311.071534173289,113.544064709589,110.500677346133
"EFE_full",105038,440,"EFE_full","EFE_full",-233.765950745726,-350.487971618332,-255.498677615451,-304.984759446376,-242.896112836094,-356.574746345244,-261.585452342364,-311.071534173289,116.722020872606,113.67863350915
"EFE_full",105039,440,"EFE_full","EFE_full",-239.455529578843,-341.367167567004,-260.843623053405,-304.984759446376,-248.585691669212,-347.453942293916,-266.930397780317,-311.071534173289,101.91163798816,98.8682506247042
"EFE_full",105040,440,"EFE_full","EFE_full",-239.8618569681,-423.234671245858,-260.548661646425,-304.984759446376,-248.992019058468,-429.32144597277,-266.635436373338,-311.071534173289,183.372814277758,180.329426914302
"EFE_full",105041,440,"no_epistemic","no_epistemic",-281.840103146008,-328.240776138448,-260.425668656794,-304.984759446376,-290.970265236377,-334.32755086536,-266.512443383706,-311.071534173289,46.4006729924399,43.3572856289837
"EFE_full",105042,440,"EFE_full","EFE_full",-227.902333876039,-319.736523287532,-262.758531967926,-304.984759446376,-237.032495966407,-325.823298014444,-268.845306694838,-311.071534173289,91.8341894114932,88.790802048037
"EFE_full",105043,440,"EFE_full","EFE_full",-239.668613001807,-308.303566717065,-267.710523539813,-304.984759446376,-248.798775092176,-314.390341443978,-273.797298266725,-311.071534173289,68.6349537152582,65.5915663518021
